Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
GROWFISH TILAPIA 4 (FINALIZACIÓN)    25%  DE PROTEÍNA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, pastas de oleaginosas, harina de pescado, harina de carne de bovino,caprino, porcino y ovino, solubles de pescado,sub productos de ave de pollo de engorda y galina de postura, harina de sangre de pollo,  gluten de maíz, pulido de arroz, salvado y acemite de trigo, grano seco de destileria, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos vitamina A, D y E estabilizada, vitaminas del complejo B, vitamina C, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, oxido de zinc, selenio y cromo organico.",Humedad max….12.00%            Proteina min…….25.00%           Fibra  max…………6.00%                   Grasa min…………5.50%                    Cenizas max………8.00%               ELN min……………43.50%                  ,Alimento completo para tilapia,"Administrar a tilapias de 100g de peso en adelante a razon de 1%  a 2% de biomasa, 2 dosis por dia",No aplica ,A-136/2016-005,Alimento,30-jun-17,30-jun-22
GROWFISH TILAPIA 3 (ENGORDA) 30% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo, gluten de maíz, salvado y acemite de trigo,grano seco de destilería, pulido de arroz, aceite de pescado, lfosfolipidos,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Humedad max….12.00%            Proteina min…….30.00%           Fibra  max…………5.00%                   Grasa min…………5.50%                    Cenizas max………9.00%               ELN min……………38.50%                  ,Alimento completo formulado para cubrir los requerimientos de las tilapias durante la etapa de engorda. De 70 a 100 gramos de peso,,,A-136/2016-006,Alimento,22-ago-16,22-ago-21
GROWFISH  TILAPIA 3  (ENGORDA) 30% DE PROTEÍNA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, pastas de oleaginosas, harina de pescado, harina de carne de bovino,caprino, porcino y ovino, solubles de pescado,sub productos de ave de pollo de engorda y galina de postura, harina de sangre de pollo,  gluten de maíz, pulido de arroz, salvado y acemite de trigo, grano seco de destileria, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos vitamina A, D y E estabilizada, vitaminas del complejo B, vitamina C, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, oxido de zinc, selenio y cromo organico.","Proteina cruda min...30.0% grasa cruda min 5.5% fibra cruda max. 5.0%, humedad max 12.0%, cenizas max 9.0 %, ELN 38.5%",Tilapia,Tilapia Mojarra (Oreochromis niloticus),No aplica,A-136/2017-004,alimento ,15-nov-17,15-nov-22
AQUAPREMIERE 2505,"Vimifos, S.A. de C.V.","Granos de cereales, subproductos cereales, pasta de oleaginosas, aceite de pescado, vitamina A, vitaminas complejo B, ácido fólico, Biotia, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcio, cobalto, cobre, selenio, hierro, manganeso, yodo, zinc, propinato de calcio, secuestrante de micotoxinas (mineral contra aflatoxinas), manano oligosacáridos y betaglucanos.",PROTEÍNA CRUDA 25.00 % MÍN GRASA CRUDA 5.00 % MIN                        FIBRA CRUDA 5.00 % MÁX                   CENIZAS 10.00 % MÁX                        HUMEDAD 10.00 % MÁX,Alimento para Tilapia Oreochromis spp. en etapa de finalización ,libre acceso ,No aplica,A-035/2014-001,Alimento ,23-sep-14,23-sep-19
AQUAPREMIERE 2805,"Vimifos, S.A. de C.V.","Granos de cereales, subproductos cereales, pasta de oleaginosas, harina de pescado,  proteína de origen avícola (harina de pollo y pluma), aceite de pescado, vitamina A, vitaminas complejo B,  ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcico, cobalto, cobre, selenio, hierro, manganeso, yodo, zinc, propinato de calcio, secuestrante de micotoxinas, manano oligosacáridos y betaglucanos.",PROTEÍNA CRUDA 25.00 % MÍN GRASA CRUDA 5.00 % MIN                        FIBRA CRUDA 5.00 % MÁX                   CENIZAS 10.00 % MÁX                        HUMEDAD 12.00 % MÁX,Alimento para Tilapia Oreochromis spp. en etapa de engorda,libre acceso ,No aplica,A-035/2014-002,Alimento ,23-sep-14,23-sep-19
AQUAPREMIERE 4008,"Vimifos, S.A. de C.V.","Granos de cereales, subproductos cereales pasta de oleaginosas, harinas de pescado, proteína de origen avícola (harina de pollo y pluma), proteínas sanguíneas porcinas, (harina de sangre de cerdo), aceite de pescado, vitamina A, vitaminas complejo B, ácido fólico, Biotina, vitamina C, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicáclcico, cobalto, cobre, selenio, hierro, manganeso, yodo, zinc, propinato de calcio, secuestrarte de mico toxinas, manano oligosacaricos y betaglucanos",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 8.00 % MIN                        FIBRA CRUDA 5.00 % MÁX                   CENIZAS 10.00 % MÁX                        HUMEDAD 12.00 % MÁX,Alimento para Tilapia Oreochromis spp. en etapa de iniciación ,libre acceso ,No aplica,A-035/2014-003,Alimento ,23-sep-14,23-sep-19
AQUA BOOSTER,"GRUPO BIOTECAP, S.A. DE C.V.","Saccharomyces cerevisiae (6x10^9 UFC/g), Enterococcus faecium (1.7x10^7 UFC/g), Lactobacillus sp.(3.7x10^7 UFC/g), Bacillus sp. (9.3x10^7 UFC/g)",Mananos oligosacaridos y ?-glucanos……15%              Humedad…..12%        Proteína cruda…..30%    Cenizas…..15%,"Es un simbiotico compuesto de bacterias probióticas. Camarón, langosta, carpa, trucha y peces de ornato","Para peces y crústaceos adicionar 5 kg /tonelada de alimento.En el estanque en 100 litros de agua disolver 5 kg de melaza (85°Brix) y adicionar 500g de AQUA BOOSTER, dejar fermentar durante 24 h , utilizando aireación continua; Sistema Extensivos: 50 L para hectaréa 4 a 7 veces por semana; Sistema Hiper.intensivo: 200 L por hectaréa diariamente",,DGSA-DSAP-CSAUA-006-(3)/2018,Biológico ,06-nov-18,06-nov-23
Epicin Hatcheries,"Proveedora de Insumos Acuícolas, S.A. de C.V.  ","Bacillus subtillis, Bacillus licheniformis, Bacillus coagulans, Lactobacillus acidophilus y Saccharomyces cerevisiae 4E9 UFC/g","Bacillus subtilis, Bacillus licheniformis, Lactobacillus acidophilus, Bacillus coagulans y Saccharomyces cerevisiae mín ………………………….4x109 UFC/g.","cultivos microbianos que eliminan los productos de desecho en el agua, tales como amoníaco, nitritos y sulfuro de hidrógeno. Camarón",Zoea 3…………………..2mg/L                             Zoea3 a Mysis 1………..2mg/L                                  Mysis 2 a Mysis 3……..3mg/L por día                                          Postlrva 1 a Postlarva 5…4 mg/L por día            Postlarva 6 a Postlarva 10 5 mg/L por día,no aplica ,DGSA-DSAP-CSAUA-004-(3)/2014,Aditivo ,01-jul-19,01-jul-24
FLOXAMIN-R 500 AQUA,"Collis Division Veterinaria, S.A. de C.V.",Enrofloxacina ,"Cada 1,000g contienen
Enrofloxacina..500g
Veh¡culo c.b.p..1,000,","Antibi¢tico de amplio espectro para especies acu¡colas.  Carpa, tilapia, lobinas, salmón, peces de ornato, camarón, langosta, langostino, pez gato, trucha, carpa, tetras, camarón, langosta, langostino","Peces: de 5 a 50 mg de oxitetraciclina/ Kg de biomasa
Crust ceos: 10 mg de oxitetraciclina/ Kg de biomasa. Cada 24 horas, durante 5 a10 d¡as",22 d¡as,DGSA-DSAP-CSAUA-016-(1)/2017,Antibiótico ,27-sep-17,27-sep-22
DVAQUA,"DIAMOND V MEX, S. de R.L. de C.V.  ","Saccharomyces cerevisiae seca en productos de forraje, suproductos de granos procesados y melaza de caña",Proteína min….15.00%            Cenizas max…… 9.00%                        fibra max………..25.00%                    grasa min………..1.50%               ,"Aditivo nutricional para ser agregado a la mezcla de alimentos balanceados. Trucha, tilapia y camarón",Para peces juveniles y maduros  de 1.25-2.50 Kg/ton y para camarones de 1.25-2.50 Kg/ton de alimento,No aplica ,DGSA-DSAP-CSAUA-001-(3)/2015,Aditivo ,02-mar-15,02-mar-20
AG 175,"Jefo de México, S.A. de C.V.","Cultivo de levaduras secas (Saccharomyces cerevisae), soluble de fermentación de Streptomyces seco (Streptomyces fradiae), dióxido de silicio.",Proteína cruda ………..mín. 15.0 %       Grasa ruda…………..mín.3.5 %  Fibra cruda…………..máx. 8.0 %        Humedad……………..máx. 10.0 % Cenizas…………………mín. 5.0 %  ,"Cultivo de levaduras y extracto de solubles de fermentación de Streptomyces deshidratados para uso en alimentos de acuacultura. Camarón, tilapia, trucha, bagre, carpa, totoaba, lobina rayada",peces y crustáceos 175g por tonelada durante todo el ciclo de producción,No aplica,DGSA-DSAP-CSAUA-009-(3)/2013,Aditivo ,12-jul-19,12-jul-24
BIO-MOS,"Alltech de México, S.A. de C.V. ",Extracto de levadura y levadura seca (Saccaharomyces cerevesiae),Proteína……………….mín. 30%                                           Humedad……….mín. 3% máx. 8%,"Aditivo alimenticio para uso en la acuacultura. Peces de agua dulces, peces marinos (tilapia, trucha, bagre) y crustaceos(camarón).","peces de agua dulce y marinos (fases de larva, alevines, crecimiento y reproducción): adicionar a la dieta a razón de 1 a 5 Kg por tonelada de alimento; crustáceos (fases de postlarva, larva, juveniles, crecimiento, adulto y reproducción): adicione a la dieta a razón de 1 a 5 Kg. por tonelada de alimento",No Aplica ,DGSA-DSAP-CSAUA-007-(3)/2016,Aditivo ,16-feb-16,16-feb-21
SEL-PLEX,"Alltech de México, S.A. de C.V. ",Selenio y levadura de cervesa inactiva (Saccharomyces cerevesiae),"Selenio …………..mín. 1,000 ppm                                             Humedad……..mín. 3%- máx. 8%                                    Proteína…...mín. 22%- máx. 30%","Para suministrar los requerimientos de selenio a la dieta (tilapia, trucha, bagre, camarón)","peces de agua dulce y marinos (fases de larva, alevines, crecimiento y reproducción): adicionar hasta 0.3 ppm en el alimento; y crustáceos (fases de postlarva, larva, juveniles, crecimiento, adulto y reproducción): adicione  hasta 0.3 ppm en el alimento. ",No aplica ,DGSA-DSAP-CSAUA-006-(3)/2016,Aditivo ,17-jul-17,17-jul-22
dermo gard aqua ,"Laboratorio Avi-Mex, S.A. de C.V.",Dihidroyoduro de etilendiamina ,Dihidroyoduro de etilendiamina (EDDI)...................6.90g. ± 5g.   Exipiente c.b.p…………100.00g.,"antiparasitario y protector cutáneo para peces. Salmón, lisas, sabalote, lenguado, lobinas, truchas, tilapia, carpa","oral a través del alimento de 400g a 600g por tonelada de alimento durante 7 días y en baños de inmersión de 200 g a 400g por 1,000L de agua de 30 minutos a 24 hora; y como protector cutáneo: oral a través del alimento 400g por tonelada de alimento durante 7 días y en baños de inmersión 100g por cada 1,00L de agua para traslado. ",No aplica ,DGSA-DSAP-CSAUA-010-(2)/2015,Medicamento Veterinario,12-nov-16,12-nov-21
NUPRO,"Alltech de México, S.A. de C.V. ",Extracto de levadura y levadura seca (Saccaharomyces cerevesiae),Proteína……………….mín. 40%                               Humedad…….mín. 3% máx. 8%,"Fuente de proteína alimenticia derivada de levaduras para uso en la acuacultura. Peces de agua dulces, peces marinos (tilapia, trucha, bagre) y crustaceos(camarón).","peces de agua dulce y marinos (fases de larva, alevines, crecimiento y reproducción): adicionar a la dieta a razón de 1 a 5% al alimento;  crustáceos (fases de postlarva, larva, juveniles, crecimiento, adulto y reproducción): adicione a la dieta a razón de 1 a 5% al alimento.  ",No Aplica ,DGSA-DSAP-CSAUA-008-(3)/2016,Aditivo ,16-feb-16,16-feb-21
AQUA BOND,"NOREL MEXICO, S.A. de C.V","Resinas sinteticas (urea formaldehido), carboximetil celulosa,humedad y cenizas.","Resinas Sinteticas (Urea Formaldehido)………………...97.0% 
Carboximetil Celulosa (Gomas Sintéticas)…………………………2.5% 
Humedad…………………………..5.0%  
Cenizas……………………….....   5.0% ","Aditivo compactante para la elaboración de alimento balanceado para especies acuícolas. Camarón, langopstino, bagre, trucha y tilapia","Desde 3.0 Kg/Ton., hasta 10.0 Kg/Ton de alimento balanceado.",No aplica ,DGSA-DSAP-CSAUA-013-(3)/2016,Aditivo ,12-oct-16,12-oct-21
SANOLIFE PRO-W,"Inve Aquaculture México, S.A. de C.V. ","Bacillus subtillis y Bacillus licheniformis                                            Extracto de levadrua (Saccaromices cereviseae inactivada), harina de trigo, hidrofosfato dipotásico, carbonato de calcio,harina de soya, vitaminas y minerales",Proteína min….20%            Cenizas max……30%           humedad max…..10%                   fibra max………..6%                    grasa min………..0.3%               ELN…………………33.7                   Bacillus s.p.p. 5.00x10^10-5.0x10^11 UFC/g,"Acondicionador de agua para especies como trucha, tilapia, salmon, bagre, camarón","Antes de llenar el estanque:  aplicar 100 a 200g por hectárea directamente al suelo. Con el estanque lleno: aplicar de 100 a 200g por hectaria, por metro de profundidad; Durante el cultivo cuando los nutrientes se limitan: Aplicar quincenalmente 100g por hectaria; Cuando la biomasa es alta: Aplicar semanalmete 200g por hectárea.",No aplica ,B-027/2015-001,Biológico ,29-ene-15,29-ene-20
SANOLIFE PRO-F FMC,"Inve Aquaculture México, S.A. de C.V. ","Bacillus subtillis y Bacillus licheniformis, Bacillus pumilus                                                                                            Extracto de levadrua (Saccaromices cereviseae inactivada), harina de trigo, hidrofosfato dipotásico, carbonato de calcio,harina de soya, vitaminas y minerales",Proteína min….20.00%            Cenizas max……30.00%           humedad max…10.00%                   fibra max………..6.00%                    grasa min………..0.3%               ELN…………………33.7%                   Bacillus s.p.p. 1.00x10^11-1.0x10^12 UFC/g,"Adicionar al alimento. Camarón, langostino, bagre, trucha y tilapia",Agregar al alimento mediante mezcla 200 g de producto por tonelada de aliemento ,No aplica ,DGSA-DSAP-CSAUA-007-(3)/2015,Aditivo ,05-ago-15,05-ago-20
SANOLIFE MIC-F,"Inve Aquaculture México, S.A. de C.V. ","Bacillus subtillis y Bacillus licheniformis                                            Extracto de levadrua (Saccaromices cereviseae inactivada), harina de trigo, hidrofosfato dipotásico, carbonato de calcio,harina de soya, vitaminas y minerales",Proteína min….10.00%            Cenizas max……97.00%           humedad max...0.10%                   fibra max………..0.01%                    grasa min………..0.01%               ELN…………………1.88%                   Bacillus s.p.p. 1.00x10^10-1.0x10^11 UFC/g,"Acondicionador de agua para especies como trucha, tilapia, salmon, bagre, camarón",adición directa a los tanques de cultivo larvario: aplicar una dosis diaria de 5 g por m^3 al agua de cultivo; Enriquecimiento a través del alimento vivo: usar 50g de pplvo para cada 100 L de volumen del tanque de enriquecimiento; Recubrimiendo las particulas de alimento: mezclar 5g ya sea con 20ml de aceite o 100ml de agua por Kg de alimento. ,No aplica ,B-027/2015-003,Biológico ,29-ene-15,29-ene-20
AQUABIOTIC ,"Gragon Global Nutritiion, S.A. de C.V. ","Bacullus subtilis, salvado de trigo, cascarilla de arroz",Bacillus subtilis mín 1x10^8 UFC/g,"aditivo probiotico para mejorar la eficacia alimenticia. Camarón, tilapia, trucha, cobia, cachama","crustáceos (postlarva, juveniles y adultos) de los géneros: Litopenaeus Vannamei, stylirostris, occidentalis, stiferus; Farfantepanaeus californiensis, duorarum, brevirostris aztecus, Panaeus Vannamei, Macrobrachium rossenbergii; peces: Cachama (Colossoma macropomum y Piaractus brachypomus), Cobia (Rachycentron sp.) Tilapias (Oreochromis spp) y truchas (Oncorhynchus spp.)",No Aplica ,DGSA-DSAP-CSAUA-005-(3)/2016,Aditivo ,16-feb-16,16-feb-21
